Event Name,Fields or Information Logged with Event,Category Logged,Level Logged
BULK_HEAP_ALLOCATE,Number of bytes allocated,Apex Code,FINEST
CALLOUT_REQUEST,Line number and request headers,Callout,INFO and above
CALLOUT_REQUEST(External object access via cross-org and OData adapters for Salesforce Connect),External endpoint and method,Callout,INFO and above
CALLOUT_RESPONSE,Line number and response body,Callout,INFO and above
CALLOUT_RESPONSE(External object access via cross-org and OData adapters for Salesforce Connect),Status and status code,Callout,INFO and above
CODE_UNIT_FINISHED,"Line number, code unit name, such as MyTrigger on Account trigger event BeforeInsert for [new], and:
• For Apex methods, the namespace (if applicable), class name, and method name; for example, YourNamespace.YourClass.yourMethod() or YourClass.yourMethod()
• For Apex triggers, a typeRef; for example, __sfdc_trigger/YourNamespace.YourTrigger or __sfdc_trigger/YourTrigger",Apex Code,ERROR and above
CODE_UNIT_STARTED,"Line number, code unit name, such as MyTrigger on Account trigger event BeforeInsert for [new], and:
• For Apex methods, the namespace (if applicable), class name, and method name; for example, YourNamespace.YourClass.yourMethod() or YourClass.yourMethod()
• For Apex triggers, a typeRef; for example, __sfdc_trigger/YourTrigger",Apex Code,ERROR and above
CONSTRUCTOR_ENTRY,"Line number, Apex class ID, the string <init>() with the types of parameters (if any) between the parentheses, and a typeRef; for example, YourClass or YourClass.YourInnerClass",Apex Code,FINE and above
CONSTRUCTOR_EXIT,"Line number, the string <init>() with the types of parameters (if any) between the parentheses, and a typeRef; for example, YourClass or YourClass.YourInnerClass",Apex Code,FINE and above
CUMULATIVE_LIMIT_USAGE,None,Apex Profiling,INFO and above
CUMULATIVE_LIMIT_USAGE_END,None,Apex Profiling,INFO and above
CUMULATIVE_PROFILING,None,Apex Profiling,FINE and above
CUMULATIVE_PROFILING_BEGIN,None,Apex Profiling,FINE and above
CUMULATIVE_PROFILING_END,None,Apex Profiling,FINE and above
DML_BEGIN,"Line number, operation (such as Insert or Update), record name or type, and number of rows passed into DML operation",DB,INFO and above
DML_END,Line number,DB,INFO and above
EMAIL_QUEUE,Line number,Apex Code,INFO and above
ENTERING_MANAGED_PKG,Package namespace,Apex Code,FINE and above
EVENT_SERVICE_PUB_BEGIN,Event Type,Workflow,INFO and above
EVENT_SERVICE_PUB_DETAIL,"Subscription IDs, ID of the user who published the event, and event message data",Workflow,FINER and above
EVENT_SERVICE_PUB_END,Event Type,Workflow,INFO and above
EVENT_SERVICE_SUB_BEGIN,Event type and action (subscribe or unsubscribe),Workflow,INFO and above
EVENT_SERVICE_SUB_DETAIL,"ID of the subscription, ID of the subscription instance, reference data (such as process API name), ID of the user who activated or deactivated the subscription, and event message data",Workflow,FINER and above
EVENT_SERVICE_SUB_END,Event type and action (subscribe or unsubscribe),Workflow,INFO and above
EXCEPTION_THROWN,"Line number, exception type, and message",Apex Code,INFO and above
EXECUTION_FINISHED,None,Apex Code,ERROR and above
EXECUTION_STARTED,None,Apex Code,ERROR and above
